Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time
1436963606.100033,,good,Pot,,
1436963607.907368,,good,Pot,,
1436963616.922718,,good,Pot,,
1436963618.73017,,good,Pot,,
1436963625.335131,,good,Pot,,
1436963635.564117,,good,Pot,,
1436963649.395511,,good,Pot,,
1436963651.796574,,good,Pot,,
1436963658.399769,,good,Pot,,
1436963665.021056,,good,Pot,,
1436963683.655342,,good,Pot,,
1436963684.857113,,good,Pot,,
1436963686.058114,,good,Pot,,
1436963697.479468,,good,Pot,,
1436963701.086793,,good,Pot,,
1436963713.738134,,good,Pot,,
1436963716.145614,,good,Pot,,
1436963719.145767,,good,Pot,,
1436963719.747204,,good,Pot,,
1436963722.154777,,good,Pot,,
1436963745.022608,,good,Pot,,
1436963749.83025,,good,Pot,,
1436963752.245125,,good,Pot,,
1436963755.86105,,good,Pot,,
1436963758.265449,,good,Pot,,
1436963780.547499,,good,Pot,,
1436963788.966817,,good,Pot,,
1436963790.162649,,good,Pot,,
1436963793.770946,,good,Pot,,
1436963811.213061,,good,Pot,,
1436963817.832697,,good,Pot,,
1436963824.44407,,good,Pot,,
1436963829.242588,,good,Pot,,
1436963830.44663,,good,Pot,,
1436963841.264544,,good,Pot,,
1436963849.686574,,good,Pot,,
1436963868.929481,,good,Pot,,
1436963873.138208,,good,Pot,,
1436963879.159734,,good,Pot,,
1436963901.410006,,good,Pot,,
1436963919.458513,,good,Pot,,
1436963925.471121,,good,Pot,,
1436963930.295108,,good,Pot,,
1436963933.311092,,good,Pot,,
1436963946.264112,,good,Pot,,
1436963952.320723,,good,Pot,,
1436963984.572979,,good,Pot,,
1436963985.779016,,good,Pot,,
1436963991.212319,,good,Pot,,
1436963993.618088,,good,Pot,,
1436963995.427213,,good,Pot,,
1436964002.07738,,good,Pot,,
1436964007.481793,,good,Pot,,
1436964014.705842,,good,Pot,,
1436964025.523865,,good,Pot,,
1436964027.327885,,good,Pot,,
1436964027.929652,,good,Pot,,
1436964031.527559,,good,Pot,,
1436964038.73777,,good,Pot,,
1436964045.358694,,good,Pot,,
1436964049.554177,,good,Pot,,
1436964057.983191,,good,Pot,,
1436964059.183597,,good,Pot,,
1436964063.379833,,good,Pot,,
1436964073.58955,,good,Pot,,
1436964083.238625,,good,Pot,,
1436964088.046766,,good,Pot,,
1436964089.245976,,good,Pot,,
1436964089.84791,,good,Pot,,
1436964124.780845,,good,Pot,,
1436964128.392287,,good,Pot,,
1436964130.79514,,good,Pot,,
1436964143.843244,,good,Pot,,
1436964164.309366,,good,Pot,,
1436964164.912459,,good,Pot,,
1436964170.329207,,good,Pot,,
1436964172.731791,,good,Pot,,
1436964192.562551,,good,Pot,,
1436964193.765776,,good,Pot,,
1436964197.968235,,good,Pot,,
1436964200.378314,,good,Pot,,
1436964208.804892,,good,Pot,,
1436964213.180537,1436964213.639666,bad,Bin,,
1436964213.996278,1436964214.224793,bad,Bin,,
1436964214.62299,1436964214.906278,bad,Bin,,
1436964215.288418,1436964215.470189,bad,Bin,,
1436964215.869006,1436964216.003806,good,Bin,,
1436964216.350574,1436964216.716102,bad,Bin,,
1436964217.098306,1436964217.247791,bad,Bin,,
1436964217.630467,1436964217.827462,bad,Bin,,
1436964218.161784,1436964218.17843,bad,Bin,,
1436964218.558835,1436964218.724486,bad,Bin,,
1436964219.106086,1436964219.157009,bad,Bin,,
1436964219.507162,1436964219.590135,good,Bin,,
1436964219.936735,1436964219.972213,bad,Bin,,
1436964220.35368,1436964220.370818,bad,Bin,,
1436964220.768696,1436964220.801223,bad,Bin,,
1436964221.166951,1436964221.316872,bad,Bin,,
1436964221.698027,1436964221.864084,bad,Bin,,
1436964222.244671,1436964222.344397,bad,Bin,,
1436964222.726678,1436964222.826456,bad,Bin,,
1436964223.207474,1436964223.224627,bad,Bin,,
1436964223.558308,1436964223.57551,bad,Bin,,
1436964223.972686,1436964224.320492,bad,Bin,,
1436964224.689421,1436964224.802275,bad,Bin,,
1436964225.182982,1436964225.26989,good,Bin,,
1436964227.905967,,good,Pot,,
1436964228.371261,,good,Pot,,
1436964230.762764,,good,Pot,,
1436964234.350107,,good,Pot,,
1436964245.706586,,good,Pot,,
1436964249.893548,,good,Pot,,
1436964255.275341,,good,Pot,,
1436964268.073753,,good,Pot,,
1436964269.270644,,good,Pot,,
1436964270.464026,,good,Pot,,
1436964272.256981,,good,Pot,,
1436964272.854952,,good,Pot,,
1436964274.649847,,good,Pot,,
1436964281.823172,,good,Pot,,
1436964284.215632,,good,Pot,,
1436964291.387576,,good,Pot,,
1436964302.261799,,good,Pot,,
1436964304.671663,,good,Pot,,
1436964305.299962,,good,Pot,,
1436964307.690559,,good,Pot,,
1436964311.872482,,good,Pot,,
1436964315.459252,,good,Pot,,
1436964316.062854,,good,Pot,,
1436964317.270441,,good,Pot,,
1436964323.877579,,good,Pot,,
1436964324.475725,,good,Pot,,
1436964328.11211,,good,Pot,,
1436964329.915728,,good,Pot,,
1436964332.315002,,good,Pot,,
1436964338.324523,,good,Pot,,
1436964346.424146,,good,Pot,,
1436964348.239957,,good,Pot,,
1436964355.058232,,good,Pot,,
1436964356.266837,,good,Pot,,
1436964364.778317,,good,Pot,,
1436964372.148364,,good,Pot,,
1436964372.81175,,good,Pot,,
1436964374.358819,,good,Pot,,
1436964403.053489,,good,Pot,,
1436964404.265673,,good,Pot,,
1436964412.108926,,good,Pot,,
1436964419.922926,,good,Pot,,
1436964430.227635,,good,Pot,,
1436964448.888175,,good,Pot,,
1436964451.937048,,good,Pot,,
1436964455.54408,,good,Pot,,
1436964457.346608,,good,Pot,,
1436964459.761285,,good,Pot,,
1436964460.363201,,good,Pot,,
1436964461.572008,,good,Pot,,
1436964476.025378,,good,Pot,,
1436964486.887145,,good,Pot,,
1436964488.089871,,good,Pot,,
1436964488.693925,,good,Pot,,
1436964489.293499,,good,Pot,,
1436964492.321312,,good,Pot,,
1436964497.14755,,good,Pot,,
1436964497.752953,,good,Pot,,
1436964501.373645,,good,Pot,,
1436964501.971844,,good,Pot,,
1436964505.58325,,good,Pot,,
